Vendor Number,Proposal Number,Vendor Name,Bid Total,Engineers Estimate,Difference,Percentage Bid Total Over Estimate,Awarded,Letting Date
697A,C15525,"W.L. CONTRACTORS, INC.","$106,620.00","$85,860.00","$20,760.00",24.18%,1,3/23/2006
,C15525 Average,,,,"$31,993.28",37.26%,,
1235A,C15526,"INTEGRATED ELECTRIC, INC.","$97,243.28","$98,884.00","-$1,640.72",-1.66%,1,3/23/2006
720A,C15526,"STURGEON ELECTRIC COMPANY, INC.","$112,413.00","$98,884.00","$13,529.00",13.68%,0,3/23/2006
697A,C15526,"W.L. CONTRACTORS, INC.","$114,673.00","$98,884.00","$15,789.00",15.97%,0,3/23/2006
,C15526 Average,,,,"$9,225.76",9.33%,,
028B,C15560,"AGGREGATE INDUSTRIES - WCR, INC.","$986,996.45","$943,961.00","$43,035.45",4.56%,0,3/23/2006
017A,C15560,ASPHALT PAVING CO.,"$871,333.63","$943,961.00","-$72,627.37",-7.69%,1,3/23/2006
924A,C15560,"ASPHALT SPECIALTIES CO., INC.","$1,129,662.00","$943,961.00","$185,701.00",19.67%,0,3/23/2006
032A,C15560,"BRANNAN SAND AND GRAVEL, LLC","$1,118,520.18","$943,961.00","$174,559.18",18.49%,0,3/23/2006
159C,C15560,KIEWIT WESTERN CO.,"$1,211,439.50","$943,961.00","$267,478.50",28.34%,0,3/23/2006
163A,C15560,LAFARGE NORTH AMERICA INC.,"$976,551.35","$943,961.00","$32,590.35",3.45%,0,3/23/2006
,C15560 Average,,,,"$105,122.85",11.14%,,
005A,MM2024,A and S CONSTRUCTION CO.,,"$158,735.00","-$158,735.00",0.00%,0,3/23/2006
1266A,MM2024,"AVALANCHE EXCAVATING, INC.",,"$158,735.00","-$158,735.00",0.00%,0,3/23/2006
503F,MM2024,K.E.C.I. COLORADO INCORPORATED,"$203,760.00","$158,735.00","$45,025.00",28.36%,0,3/23/2006
163C,MM2024,LAFARGE dba WESTERN MOBILE SOUTHERN,,"$158,735.00","-$158,735.00",0.00%,0,3/23/2006
061A,MM2024,"ROCKY MOUNTAIN ENTERPRISES, INC.",,"$158,735.00","-$158,735.00",0.00%,0,3/23/2006
903A,MM2024,"TLM CONSTRUCTORS, INC.","$235,113.70","$158,735.00","$76,378.70",48.12%,0,3/23/2006
,MM2024 Average,,,,"-$85,589.38",12.75%,,
1098A,MM6066,DKS ENTERPRISES INC.,"$127,665.00","$115,800.00","$11,865.00",10.25%,0,3/23/2006
1235A,MM6066,"INTEGRATED ELECTRIC, INC.","$139,487.43","$115,800.00","$23,687.43",20.46%,0,3/23/2006
1363A,MM6066,"POWER ENGINEERS, INC.","$101,527.80","$115,800.00","-$14,272.20",-12.32%,0,3/23/2006
720A,MM6066,"STURGEON ELECTRIC COMPANY, INC.","$133,538.00","$115,800.00","$17,738.00",15.32%,0,3/23/2006
697A,MM6066,"W.L. CONTRACTORS, INC.","$89,662.00","$115,800.00","-$26,138.00",-22.57%,1,3/23/2006
,MM6066 Average,,,,"$2,576.05",2.22%,,
005A,C14556R,A and S CONSTRUCTION CO.,,"$1,089,398.50","-$1,089,398.50",0.00%,0,3/30/2006
091A,C14556R,ELAM CONSTRUCTION INCORPORATED,,"$1,089,398.50","-$1,089,398.50",0.00%,0,3/30/2006
045A,C14556R,"HANK WILLIAMS, INC. dba WILLIAMS CONSTRUCTION CONTRACTORS",,"$1,089,398.50","-$1,089,398.50",0.00%,0,3/30/2006
503F,C14556R,K.E.C.I. COLORADO INCORPORATED,"$1,502,511.00","$1,089,398.50","$413,112.50",37.92%,0,3/30/2006
547A,C14556R,"OLDCASTLE SW GROUP, INC. dba UNITED COMPANIES OF MESA COUNTY","$1,394,744.53","$1,089,398.50","$305,346.03",28.03%,0,3/30/2006
,C14556R Average,,,,"-$509,947.39",13.19%,,
868A,C15567,"ARROW ELECTRIC SERVICE, INC.","$203,119.10","$281,516.00","-$78,396.90",-27.85%,1,3/30/2006
1200A,C15567,"C & D ELECTRIC, INC.",,"$281,516.00","-$281,516.00",0.00%,0,3/30/2006
1235A,C15567,"INTEGRATED ELECTRIC, INC.",,"$281,516.00","-$281,516.00",0.00%,0,3/30/2006
1231A,C15567,INTERFACE COMMUNICATIONS COMPANY,,"$281,516.00","-$281,516.00",0.00%,0,3/30/2006
178A,C15567,MAIN ELECTRIC LTD,,"$281,516.00","-$281,516.00",0.00%,0,3/30/2006
061A,C15567,"ROCKY MOUNTAIN ENTERPRISES, INC.","$258,778.00","$281,516.00","-$22,738.00",-8.08%,0,3/30/2006
720A,C15567,"STURGEON ELECTRIC COMPANY, INC.","$358,558.00","$281,516.00","$77,042.00",27.37%,0,3/30/2006
697A,C15567,"W.L. CONTRACTORS, INC.",,"$281,516.00","-$281,516.00",0.00%,0,3/30/2006
,C15567 Average,,,,"-$178,959.11",-1.07%,,
065A,C15584,CONCRETE WORKS OF COLORADO INCORPORATED,,"$830,963.80","-$830,963.80",0.00%,0,3/30/2006
1380A,C15584,"FORBY CONTRACTING, INC.","$823,147.50","$830,963.80","-$7,816.30",-0.94%,0,3/30/2006
503F,C15584,K.E.C.I. COLORADO INCORPORATED,,"$830,963.80","-$830,963.80",0.00%,0,3/30/2006
107C,C15584,KNJ INCORPORATED,,"$830,963.80","-$830,963.80",0.00%,0,3/30/2006
692A,C15584,NEW DESIGN CONSTRUCTION COMPANY,"$818,472.25","$830,963.80","-$12,491.55",-1.50%,1,3/30/2006
1068A,C15584,PENHALL COMPANY,"$970,492.52","$830,963.80","$139,528.72",16.79%,0,3/30/2006
903A,C15584,"TLM CONSTRUCTORS, INC.","$841,613.85","$830,963.80","$10,650.05",1.28%,0,3/30/2006
,C15584 Average,,,,"-$337,574.35",2.23%,,
503F,C15607,K.E.C.I. COLORADO INCORPORATED,"$251,867.00","$210,034.00","$41,833.00",19.92%,0,3/30/2006
360A,C15607,"MOUNTAIN CONSTRUCTORS, INC.","$219,773.00","$210,034.00","$9,739.00",4.64%,1,3/30/2006
276A,C15607,"TECHNOLOGY CONSTRUCTORS, INC.","$261,171.00","$210,034.00","$51,137.00",24.35%,0,3/30/2006
903A,C15607,"TLM CONSTRUCTORS, INC.","$223,372.50","$210,034.00","$13,338.50",6.35%,0,3/30/2006
,C15607 Average,,,,"$29,011.88",13.81%,,
005A,C13487A,A and S CONSTRUCTION CO.,"$5,421,038.65","$4,411,527.30","$1,009,511.35",22.88%,0,4/6/2006
547A,C13487A,"OLDCASTLE SW GROUP, INC. dba UNITED COMPANIES OF MESA COUNTY","$5,284,998.25","$4,411,527.30","$873,470.95",19.80%,0,4/6/2006
870A,C13487A,"SEMA CONSTRUCTION, INC.","$5,290,639.45","$4,411,527.30","$879,112.15",19.93%,0,4/6/2006
,C13487A Average,,,,"$920,698.15",20.87%,,
005A,C13487B,A and S CONSTRUCTION CO.,"$4,756,781.05","$3,526,263.50","$1,230,517.55",34.90%,0,4/6/2006
547A,C13487B,"OLDCASTLE SW GROUP, INC. dba UNITED COMPANIES OF MESA COUNTY","$4,258,244.95","$3,526,263.50","$731,981.45",20.76%,0,4/6/2006
870A,C13487B,"SEMA CONSTRUCTION, INC.","$4,308,765.35","$3,526,263.50","$782,501.85",22.19%,0,4/6/2006
,C13487B Average,,,,"$915,000.28",25.95%,,
164A,C15194,EDWARD KRAEMER AND SONS INCORPORATED,"$365,950.00","$365,843.00",$107.00,0.03%,0,4/6/2006
1029A,C15194,"HALLMARK ENVIORNMENTAL, INC. dba HALLMARK , INC.","$361,992.00","$365,843.00","-$3,851.00",-1.05%,1,4/6/2006
696A,C15194,"JALISCO INTERNATIONAL, INC.","$425,159.50","$365,843.00","$59,316.50",16.21%,0,4/6/2006
276A,C15194,"TECHNOLOGY CONSTRUCTORS, INC.","$473,771.00","$365,843.00","$107,928.00",29.50%,0,4/6/2006
,C15194 Average,,,,"$40,875.13",11.17%,,
668A,C15429,EDW. C. LEVY CO. dba SCHMIDT CONSTRUCTION COMPANY,"$2,790,697.45","$3,083,933.50","-$293,236.05",-9.51%,1,4/6/2006
159C,C15429,KIEWIT WESTERN CO.,"$3,135,750.80","$3,083,933.50","$51,817.30",1.68%,0,4/6/2006
163A,C15429,LAFARGE NORTH AMERICA INC.,"$2,934,782.00","$3,083,933.50","-$149,151.50",-4.84%,0,4/6/2006
,C15429 Average,,,,"-$130,190.08",-4.22%,,
1231A,C15498,INTERFACE COMMUNICATIONS COMPANY,"$396,235.00","$429,999.00","-$33,764.00",-7.85%,1,4/6/2006
503F,C15498,K.E.C.I. COLORADO INCORPORATED,"$458,807.00","$429,999.00","$28,808.00",6.70%,0,4/6/2006
010A,C15498,NORAA CONCRETE CONSTRUCTION CORPORATION,"$667,250.00","$429,999.00","$237,251.00",55.17%,0,4/6/2006
720A,C15498,"STURGEON ELECTRIC COMPANY, INC.","$398,374.25","$429,999.00","-$31,624.75",-7.35%,0,4/6/2006
276A,C15498,"TECHNOLOGY CONSTRUCTORS, INC.","$458,188.60","$429,999.00","$28,189.60",6.56%,0,4/6/2006
,C15498 Average,,,,"$45,771.97",10.64%,,
005A,C15562,A and S CONSTRUCTION CO.,"$5,763,418.45","$6,655,150.30","-$891,731.85",-13.40%,0,4/6/2006
027A,C15562,"APC SOUTHERN CONSTRUCTION COMPANY, LLC","$5,730,737.98","$6,655,150.30","-$924,412.32",-13.89%,1,4/6/2006
017A,C15562,ASPHALT PAVING CO.,,"$6,655,150.30","-$6,655,150.30",0.00%,0,4/6/2006
073A,C15562,FISHER SAND & GRAVEL CO.  dba SOUTHWEST ASPHALT PAVING,"$6,605,271.98","$6,655,150.30","-$49,878.32",-0.75%,0,4/6/2006
159C,C15562,KIEWIT WESTERN CO.,"$7,064,033.80","$6,655,150.30","$408,883.50",6.14%,0,4/6/2006
160A,C15562,"KIRKLAND CONSTRUCTION, L.L.L.P.",,"$6,655,150.30","-$6,655,150.30",0.00%,0,4/6/2006
163A,C15562,LAFARGE NORTH AMERICA INC.,"$6,182,894.45","$6,655,150.30","-$472,255.85",-7.10%,0,4/6/2006
692A,C15562,NEW DESIGN CONSTRUCTION COMPANY,,"$6,655,150.30","-$6,655,150.30",0.00%,0,4/6/2006
295A,C15562,THE WALSENBURG SAND AND GRAVEL COMPANY,,"$6,655,150.30","-$6,655,150.30",0.00%,0,4/6/2006
,C15562 Average,,,,"-$3,172,221.78",-3.22%,,
017A,MM1056,ASPHALT PAVING CO.,"$638,664.95","$525,003.00","$113,661.95",21.65%,0,4/13/2006
159C,MM1056,KIEWIT WESTERN CO.,"$661,282.00","$525,003.00","$136,279.00",25.96%,0,4/13/2006
S3452,MM1056,"PAVETEC, INC.","$582,110.20","$525,003.00","$57,107.20",10.88%,1,4/13/2006
,MM1056 Average,,,,"$102,349.38",19.50%,,
060A,MM4065,"HIGHWAY TECHNOLOGIES, INC.","$148,562.60","$234,026.00","-$85,463.40",-36.52%,1,4/13/2006
595A,MM4065,ROAD SAFE,"$175,493.50","$234,026.00","-$58,532.50",-25.01%,0,4/13/2006
,MM4065 Average,,,,"-$71,997.95",-30.76%,,
028B,C14635,"AGGREGATE INDUSTRIES - WCR, INC.","$1,098,540.40","$1,048,470.00","$50,070.40",4.78%,1,4/20/2006
032B,C14635,BRANNAN CONSTRUCTION COMPANY,"$1,104,105.39","$1,048,470.00","$55,635.39",5.31%,0,4/20/2006
163A,C14635,LAFARGE NORTH AMERICA INC.,"$1,131,067.15","$1,048,470.00","$82,597.15",7.88%,0,4/20/2006
S2881,C14635,"PREMIER PAVING, INC.","$1,135,031.65","$1,048,470.00","$86,561.65",8.26%,0,4/20/2006
,C14635 Average,,,,"$68,716.15",6.55%,,
099H,C15201S,"FLATIRON CONSTRUCTORS,  INC.",,"$9,833,551.00","-$9,833,551.00",0.00%,0,4/20/2006
045A,C15201S,"HANK WILLIAMS, INC. dba WILLIAMS CONSTRUCTION CONTRACTORS","$12,815,161.54","$9,833,551.00","$2,981,610.54",30.32%,0,4/20/2006
159C,C15201S,KIEWIT WESTERN CO.,"$11,405,683.50","$9,833,551.00","$1,572,132.50",15.99%,1,4/20/2006
107C,C15201S,KNJ INCORPORATED,,"$9,833,551.00","-$9,833,551.00",0.00%,0,4/20/2006
1273A,C15201S,ROCK and CO.,,"$9,833,551.00","-$9,833,551.00",0.00%,0,4/20/2006
870A,C15201S,"SEMA CONSTRUCTION, INC.","$12,228,385.75","$9,833,551.00","$2,394,834.75",24.35%,0,4/20/2006
,C15201S Average,,,,"-$3,758,679.20",11.78%,,
028B,C15261,"AGGREGATE INDUSTRIES - WCR, INC.","$3,602,511.48","$3,391,904.95","$210,606.53",6.21%,0,4/20/2006
073A,C15261,FISHER SAND & GRAVEL CO.  dba SOUTHWEST ASPHALT PAVING,"$4,092,408.80","$3,391,904.95","$700,503.85",20.65%,0,4/20/2006
163A,C15261,LAFARGE NORTH AMERICA INC.,"$3,219,111.30","$3,391,904.95","-$172,793.65",-5.09%,0,4/20/2006
257A,C15261,SIMON CONTRACTORS,"$3,223,364.47","$3,391,904.95","-$168,540.48",-4.97%,0,4/20/2006
329A,C15261,"WESTERN ENGINEERING COMPANY, INC. DBA WECO INC.","$3,174,436.50","$3,391,904.95","-$217,468.45",-6.41%,1,4/20/2006
,C15261 Average,,,,"$70,461.56",2.08%,,
017A,C15359,ASPHALT PAVING CO.,"$1,726,368.40","$1,710,465.30","$15,903.10",0.93%,1,4/20/2006
032B,C15359,BRANNAN CONSTRUCTION COMPANY,"$1,961,899.95","$1,710,465.30","$251,434.65",14.70%,0,4/20/2006
159C,C15359,KIEWIT WESTERN CO.,"$1,946,907.00","$1,710,465.30","$236,441.70",13.82%,0,4/20/2006
163A,C15359,LAFARGE NORTH AMERICA INC.,"$1,947,065.35","$1,710,465.30","$236,600.05",13.83%,0,4/20/2006
,C15359 Average,,,,"$185,094.88",10.82%,,
028B,C15360,"AGGREGATE INDUSTRIES - WCR, INC.","$869,775.80","$849,316.00","$20,459.80",2.41%,1,4/20/2006
017A,C15360,ASPHALT PAVING CO.,"$1,055,413.10","$849,316.00","$206,097.10",24.27%,0,4/20/2006
924A,C15360,"ASPHALT SPECIALTIES CO., INC.","$994,436.30","$849,316.00","$145,120.30",17.09%,0,4/20/2006
032B,C15360,BRANNAN CONSTRUCTION COMPANY,"$1,089,992.49","$849,316.00","$240,676.49",28.34%,0,4/20/2006
159C,C15360,KIEWIT WESTERN CO.,"$1,073,301.00","$849,316.00","$223,985.00",26.37%,0,4/20/2006
163A,C15360,LAFARGE NORTH AMERICA INC.,"$915,782.50","$849,316.00","$66,466.50",7.83%,0,4/20/2006
,C15360 Average,,,,"$150,467.53",17.72%,,
868A,MM2029,"ARROW ELECTRIC SERVICE, INC.","$181,907.30","$192,631.00","-$10,723.70",-5.57%,1,4/20/2006
061A,MM2029,"ROCKY MOUNTAIN ENTERPRISES, INC.","$301,284.50","$192,631.00","$108,653.50",56.40%,0,4/20/2006
720A,MM2029,"STURGEON ELECTRIC COMPANY, INC.","$258,211.00","$192,631.00","$65,580.00",34.04%,0,4/20/2006
,MM2029 Average,,,,"$54,503.27",28.29%,,
017A,MM6067,ASPHALT PAVING CO.,"$830,598.70","$919,766.50","-$89,167.80",-9.69%,1,4/20/2006
032B,MM6067,BRANNAN CONSTRUCTION COMPANY,"$860,779.05","$919,766.50","-$58,987.45",-6.41%,0,4/20/2006
032A,MM6067,"BRANNAN SAND AND GRAVEL, LLC",,"$919,766.50","-$919,766.50",0.00%,0,4/20/2006
159C,MM6067,KIEWIT WESTERN CO.,"$1,068,920.00","$919,766.50","$149,153.50",16.22%,0,4/20/2006
163A,MM6067,LAFARGE NORTH AMERICA INC.,"$971,253.70","$919,766.50","$51,487.20",5.60%,0,4/20/2006
,MM6067 Average,,,,"-$173,456.21",1.14%,,
028B,C15515,"AGGREGATE INDUSTRIES - WCR, INC.","$3,828,811.36","$3,474,357.40","$354,453.96",10.20%,0,4/27/2006
1098A,C15515,DKS ENTERPRISES INC.,,"$3,474,357.40","-$3,474,357.40",0.00%,0,4/27/2006
1235A,C15515,"INTEGRATED ELECTRIC, INC.",,"$3,474,357.40","-$3,474,357.40",0.00%,0,4/27/2006
163A,C15515,LAFARGE NORTH AMERICA INC.,"$4,033,335.45","$3,474,357.40","$558,978.05",16.09%,0,4/27/2006
908A,C15515,POWER ELECTRIC COMPANY,,"$3,474,357.40","-$3,474,357.40",0.00%,0,4/27/2006
061A,C15515,"ROCKY MOUNTAIN ENTERPRISES, INC.",,"$3,474,357.40","-$3,474,357.40",0.00%,0,4/27/2006
720A,C15515,"STURGEON ELECTRIC COMPANY, INC.",,"$3,474,357.40","-$3,474,357.40",0.00%,0,4/27/2006
697A,C15515,"W.L. CONTRACTORS, INC.",,"$3,474,357.40","-$3,474,357.40",0.00%,0,4/27/2006
,C15515 Average,,,,"-$2,491,589.05",3.29%,,
028B,C15609,"AGGREGATE INDUSTRIES - WCR, INC.",,"$89,080.00","-$89,080.00",0.00%,0,4/27/2006
017A,C15609,ASPHALT PAVING CO.,,"$89,080.00","-$89,080.00",0.00%,0,4/27/2006
924A,C15609,"ASPHALT SPECIALTIES CO., INC.",,"$89,080.00","-$89,080.00",0.00%,0,4/27/2006
032A,C15609,"BRANNAN SAND AND GRAVEL, LLC",,"$89,080.00","-$89,080.00",0.00%,0,4/27/2006
071A,C15609,COULSON EXCAVATING COMPANY INCORPORATED,,"$89,080.00","-$89,080.00",0.00%,0,4/27/2006
1098A,C15609,DKS ENTERPRISES INC.,"$101,607.00","$89,080.00","$12,527.00",14.06%,0,4/27/2006
073A,C15609,FISHER SAND & GRAVEL CO.  dba SOUTHWEST ASPHALT PAVING,,"$89,080.00","-$89,080.00",0.00%,0,4/27/2006
1235A,C15609,"INTEGRATED ELECTRIC, INC.","$73,752.81","$89,080.00","-$15,327.19",-17.21%,1,4/27/2006
503F,C15609,K.E.C.I. COLORADO INCORPORATED,"$75,934.00","$89,080.00","-$13,146.00",-14.76%,0,4/27/2006
159C,C15609,KIEWIT WESTERN CO.,,"$89,080.00","-$89,080.00",0.00%,0,4/27/2006
163A,C15609,LAFARGE NORTH AMERICA INC.,,"$89,080.00","-$89,080.00",0.00%,0,4/27/2006
061A,C15609,"ROCKY MOUNTAIN ENTERPRISES, INC.","$116,106.00","$89,080.00","$27,026.00",30.34%,0,4/27/2006
720A,C15609,"STURGEON ELECTRIC COMPANY, INC.","$124,858.00","$89,080.00","$35,778.00",40.16%,0,4/27/2006
,C15609 Average,,,,"-$51,214.01",4.05%,,
435A,C15107,G.A. WESTERN CONSTRUCTION CO.,"$1,375,103.72","$1,136,312.50","$238,791.22",21.01%,0,5/4/2006
,C15107 Average,,,,"$238,791.22",21.01%,,
060A,MM3032,"HIGHWAY TECHNOLOGIES, INC.","$1,355,395.98","$1,767,999.15","-$412,603.17",-23.34%,1,5/4/2006
162A,MM3032,KOLBE STRIPING INCORPORATED,"$1,895,650.50","$1,767,999.15","$127,651.35",7.22%,0,5/4/2006
,MM3032 Average,,,,"-$142,475.91",-8.06%,,
032A,MM4066,"BRANNAN SAND AND GRAVEL, LLC",,"$211,085.00","-$211,085.00",0.00%,0,5/4/2006
060A,MM4066,"HIGHWAY TECHNOLOGIES, INC.",,"$211,085.00","-$211,085.00",0.00%,0,5/4/2006
162A,MM4066,KOLBE STRIPING INCORPORATED,,"$211,085.00","-$211,085.00",0.00%,0,5/4/2006
163A,MM4066,LAFARGE NORTH AMERICA INC.,"$166,188.65","$211,085.00","-$44,896.35",-21.27%,1,5/4/2006
595A,MM4066,ROAD SAFE,,"$211,085.00","-$211,085.00",0.00%,0,5/4/2006
,MM4066 Average,,,,"-$177,847.27",-4.25%,,
903A,C15656,"TLM CONSTRUCTORS, INC.","$316,460.50","$137,080.00","$179,380.50",130.86%,0,5/11/2006
,C15656 Average,,,,"$179,380.50",130.86%,,
060A,MM2030,"HIGHWAY TECHNOLOGIES, INC.","$1,944,605.34","$2,056,162.50","-$111,557.16",-5.43%,1,5/11/2006
162A,MM2030,KOLBE STRIPING INCORPORATED,"$2,065,770.07","$2,056,162.50","$9,607.57",0.47%,0,5/11/2006
595A,MM2030,ROAD SAFE,"$2,176,140.30","$2,056,162.50","$119,977.80",5.84%,0,5/11/2006
,MM2030 Average,,,,"$6,009.40",0.29%,,
1275A,C13289,"CASTLE ROCK CONSTRUCTION COMPANY OF COLORADO, LLC","$19,775,716.60","$16,509,810.70","$3,265,905.90",19.78%,0,5/18/2006
090A,C13289,INTERSTATE HIGHWAY CONSTRUCTION,"$17,483,249.34","$16,509,810.70","$973,438.64",5.90%,1,5/18/2006
854A,C13289,LAWSON CONSTRUCTION CO.,"$18,520,188.90","$16,509,810.70","$2,010,378.20",12.18%,0,5/18/2006
,C13289 Average,,,,"$2,083,240.91",12.62%,,
099H,C15106,"FLATIRON CONSTRUCTORS,  INC.","$1,740,199.00","$1,295,108.50","$445,090.50",34.37%,0,5/18/2006
055A,C15106,"TRICON 2, LLC","$1,283,480.13","$1,295,108.50","-$11,628.37",-0.90%,1,5/18/2006
,C15106 Average,,,,"$216,731.07",16.73%,,
028B,C15515R,"AGGREGATE INDUSTRIES - WCR, INC.","$4,055,794.53","$4,079,237.65","-$23,443.12",-0.57%,1,5/18/2006
017A,C15515R,ASPHALT PAVING CO.,,"$4,079,237.65","-$4,079,237.65",0.00%,0,5/18/2006
924A,C15515R,"ASPHALT SPECIALTIES CO., INC.","$4,595,490.06","$4,079,237.65","$516,252.41",12.66%,0,5/18/2006
032A,C15515R,"BRANNAN SAND AND GRAVEL, LLC",,"$4,079,237.65","-$4,079,237.65",0.00%,0,5/18/2006
163A,C15515R,LAFARGE NORTH AMERICA INC.,"$4,182,350.95","$4,079,237.65","$103,113.30",2.53%,0,5/18/2006
,C15515R Average,,,,"-$1,512,510.54",2.92%,,
655A,MM3033,"GONZALES CONSTRUCTION COMPANY, INC.","$218,979.00","$208,440.00","$10,539.00",5.06%,0,5/18/2006
060A,MM3033,"HIGHWAY TECHNOLOGIES, INC.","$139,877.00","$208,440.00","-$68,563.00",-32.89%,1,5/18/2006
447A,MM3033,IDEAL FENCING CORPORATION,"$178,859.10","$208,440.00","-$29,580.90",-14.19%,0,5/18/2006
,MM3033 Average,,,,"-$29,201.63",-14.01%,,
1214A,C14930,"ARAPAHOE UTILITIES & INFRASTRUCTURE, INC.","$1,527,580.30","$1,019,840.60","$507,739.70",49.79%,0,5/25/2006
435A,C14930,G.A. WESTERN CONSTRUCTION CO.,"$1,317,823.18","$1,019,840.60","$297,982.58",29.22%,0,5/25/2006
,C14930 Average,,,,"$402,861.14",39.50%,,
1057A,C15507,A-1 CHIPSEAL COMPANY,"$548,670.08","$533,196.70","$15,473.38",2.90%,1,5/25/2006
547A,C15507,"OLDCASTLE SW GROUP, INC. dba UNITED COMPANIES OF MESA COUNTY","$749,299.90","$533,196.70","$216,103.20",40.53%,0,5/25/2006
,C15507 Average,,,,"$115,788.29",21.72%,,
1098A,M1057,DKS ENTERPRISES INC.,"$504,445.00","$512,290.00","-$7,845.00",-1.53%,0,5/25/2006
1370A,M1057,GECO/KIMSEY LLC dba GUARANTEE ELECTRICAL CONTRACTING,"$463,252.74","$512,290.00","-$49,037.26",-9.57%,0,5/25/2006
720A,M1057,"STURGEON ELECTRIC COMPANY, INC.","$443,642.80","$512,290.00","-$68,647.20",-13.40%,1,5/25/2006
697A,M1057,"W.L. CONTRACTORS, INC.","$808,750.00","$512,290.00","$296,460.00",57.87%,0,5/25/2006
,M1057 Average,,,,"$42,732.64",8.34%,,
060A,MM1059,"HIGHWAY TECHNOLOGIES, INC.","$1,496,787.65","$1,567,628.50","-$70,840.85",-4.52%,0,6/1/2006
162A,MM1059,KOLBE STRIPING INCORPORATED,"$1,320,161.00","$1,567,628.50","-$247,467.50",-15.79%,1,6/1/2006
595A,MM1059,ROAD SAFE,"$1,695,954.60","$1,567,628.50","$128,326.10",8.19%,0,6/1/2006
,MM1059 Average,,,,"-$63,327.42",-4.04%,,
435A,MM3034,G.A. WESTERN CONSTRUCTION CO.,"$952,059.00","$925,025.00","$27,034.00",2.92%,1,6/1/2006
1068A,MM3034,PENHALL COMPANY,"$995,860.00","$925,025.00","$70,835.00",7.66%,0,6/1/2006
,MM3034 Average,,,,"$48,934.50",5.29%,,
005A,C15159RA,A and S CONSTRUCTION CO.,"$7,427,687.60","$6,936,917.40","$490,770.20",7.07%,0,6/8/2006
027A,C15159RA,"APC SOUTHERN CONSTRUCTION COMPANY, LLC","$8,416,867.05","$6,936,917.40","$1,479,949.65",21.33%,0,6/8/2006
073A,C15159RA,FISHER SAND & GRAVEL CO.  dba SOUTHWEST ASPHALT PAVING,"$7,665,182.20","$6,936,917.40","$728,264.80",10.50%,0,6/8/2006
163A,C15159RA,LAFARGE NORTH AMERICA INC.,"$7,067,198.35","$6,936,917.40","$130,280.95",1.88%,0,6/8/2006
,C15159RA Average,,,,"$707,316.40",10.20%,,
005A,C15159RB,A and S CONSTRUCTION CO.,"$6,261,928.85","$5,830,027.80","$431,901.05",7.41%,0,6/8/2006
027A,C15159RB,"APC SOUTHERN CONSTRUCTION COMPANY, LLC","$7,031,448.30","$5,830,027.80","$1,201,420.50",20.61%,0,6/8/2006
073A,C15159RB,FISHER SAND & GRAVEL CO.  dba SOUTHWEST ASPHALT PAVING,"$6,496,140.50","$5,830,027.80","$666,112.70",11.43%,0,6/8/2006
163A,C15159RB,LAFARGE NORTH AMERICA INC.,"$5,877,051.15","$5,830,027.80","$47,023.35",0.81%,1,6/8/2006
,C15159RB Average,,,,"$586,614.40",10.06%,,
1098A,C15590,DKS ENTERPRISES INC.,,"$266,104.25","-$266,104.25",0.00%,0,6/8/2006
857A,C15590,"H & L CONCRETE, INC DBA NARANJO CIVIL CONSTRUCTORS","$375,337.00","$266,104.25","$109,232.75",41.05%,0,6/8/2006
1235A,C15590,"INTEGRATED ELECTRIC, INC.",,"$266,104.25","-$266,104.25",0.00%,0,6/8/2006
1055A,C15590,J-2 CONTRACTING COMPANY,,"$266,104.25","-$266,104.25",0.00%,0,6/8/2006
503F,C15590,K.E.C.I. COLORADO INCORPORATED,"$302,367.00","$266,104.25","$36,262.75",13.63%,0,6/8/2006
360A,C15590,"MOUNTAIN CONSTRUCTORS, INC.","$285,800.00","$266,104.25","$19,695.75",7.40%,1,6/8/2006
720A,C15590,"STURGEON ELECTRIC COMPANY, INC.","$346,144.02","$266,104.25","$80,039.77",30.08%,0,6/8/2006
697A,C15590,"W.L. CONTRACTORS, INC.","$307,462.00","$266,104.25","$41,357.75",15.54%,0,6/8/2006
,C15590 Average,,,,"-$63,965.50",13.46%,,
668A,C15617,EDW. C. LEVY CO. dba SCHMIDT CONSTRUCTION COMPANY,"$456,066.97","$380,160.70","$75,906.27",19.97%,1,6/8/2006
159C,C15617,KIEWIT WESTERN CO.,"$534,973.85","$380,160.70","$154,813.15",40.72%,0,6/8/2006
,C15617 Average,,,,"$115,359.71",30.34%,,
1200A,MM2031,"C & D ELECTRIC, INC.","$599,650.00","$370,100.00","$229,550.00",62.02%,0,6/8/2006
1098A,MM2031,DKS ENTERPRISES INC.,"$426,600.00","$370,100.00","$56,500.00",15.27%,1,6/8/2006
697A,MM2031,"W.L. CONTRACTORS, INC.","$800,000.00","$370,100.00","$429,900.00",116.16%,0,6/8/2006
,MM2031 Average,,,,"$238,650.00",64.48%,,
924A,C14986,"ASPHALT SPECIALTIES CO., INC.",,"$11,263,592.60","-$11,263,592.60",0.00%,0,6/15/2006
150B,C14986,CASTLE ROCK CONSTRUCTION CO,,"$11,263,592.60","-$11,263,592.60",0.00%,0,6/15/2006
090A,C14986,INTERSTATE HIGHWAY CONSTRUCTION,"$12,126,873.38","$11,263,592.60","$863,280.78",7.66%,0,6/15/2006
